[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch=0, Iter=2200/6512] loss = 2.9258 (3.5951); frame0_box_l1_loss = 0.0113 (0.0137); frame0_box_giou_loss = 0.1305 (0.1408); frame0_label_focal_loss = 0.0247 (0.0575); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0130 (0.0155); frame1_box_giou_loss = 0.1399 (0.1498); frame1_label_focal_loss = 0.0287 (0.0543); frame1_bio_motion_loss = 0.0007 (0.0011); 
[Epoch=0, Iter=2300/6512] loss = 3.0182 (3.5700); frame0_box_l1_loss = 0.0136 (0.0137); frame0_box_giou_loss = 0.1365 (0.1406); frame0_label_focal_loss = 0.0248 (0.0561); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0153 (0.0155); frame1_box_giou_loss = 0.1360 (0.1492); frame1_label_focal_loss = 0.0316 (0.0533); frame1_bio_motion_loss = 0.0008 (0.0010); 
[Epoch=0, Iter=2400/6512] loss = 2.9539 (3.5443); frame0_box_l1_loss = 0.0120 (0.0136); frame0_box_giou_loss = 0.1309 (0.1402); frame0_label_focal_loss = 0.0259 (0.0548); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0139 (0.0155); frame1_box_giou_loss = 0.1375 (0.1487); frame1_label_focal_loss = 0.0285 (0.0522); frame1_bio_motion_loss = 0.0006 (0.0010); 
[Epoch=0, Iter=2500/6512] loss = 2.9056 (3.5188); frame0_box_l1_loss = 0.0124 (0.0136); frame0_box_giou_loss = 0.1320 (0.1399); frame0_label_focal_loss = 0.0278 (0.0537); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0119 (0.0153); frame1_box_giou_loss = 0.1294 (0.1480); frame1_label_focal_loss = 0.0282 (0.0513); frame1_bio_motion_loss = 0.0004 (0.0010); 
[Epoch=0, Iter=2600/6512] loss = 2.9320 (3.4962); frame0_box_l1_loss = 0.0130 (0.0136); frame0_box_giou_loss = 0.1278 (0.1394); frame0_label_focal_loss = 0.0268 (0.0527); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0147 (0.0153); frame1_box_giou_loss = 0.1306 (0.1473); frame1_label_focal_loss = 0.0292 (0.0504); frame1_bio_motion_loss = 0.0009 (0.0010); 
[Epoch=0, Iter=2700/6512] loss = 2.9863 (3.4774); frame0_box_l1_loss = 0.0125 (0.0135); frame0_box_giou_loss = 0.1306 (0.1391); frame0_label_focal_loss = 0.0233 (0.0516); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0173 (0.0154); frame1_box_giou_loss = 0.1397 (0.1470); frame1_label_focal_loss = 0.0298 (0.0497); frame1_bio_motion_loss = 0.0011 (0.0010); 
[Epoch=0, Iter=2800/6512] loss = 2.8917 (3.4564); frame0_box_l1_loss = 0.0116 (0.0135); frame0_box_giou_loss = 0.1307 (0.1388); frame0_label_focal_loss = 0.0268 (0.0507); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0182 (0.0155); frame1_box_giou_loss = 0.1344 (0.1466); frame1_label_focal_loss = 0.0326 (0.0491); frame1_bio_motion_loss = 0.0016 (0.0010); 
[Epoch=0, Iter=2900/6512] loss = 2.7054 (3.4306); frame0_box_l1_loss = 0.0111 (0.0134); frame0_box_giou_loss = 0.1248 (0.1383); frame0_label_focal_loss = 0.0216 (0.0497); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0116 (0.0153); frame1_box_giou_loss = 0.1287 (0.1459); frame1_label_focal_loss = 0.0238 (0.0482); frame1_bio_motion_loss = 0.0003 (0.0010); 
[Epoch=0, Iter=3000/6512] loss = 2.8184 (3.4102); frame0_box_l1_loss = 0.0119 (0.0133); frame0_box_giou_loss = 0.1233 (0.1378); frame0_label_focal_loss = 0.0207 (0.0488); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0144 (0.0153); frame1_box_giou_loss = 0.1345 (0.1456); frame1_label_focal_loss = 0.0277 (0.0475); frame1_bio_motion_loss = 0.0007 (0.0010); 
[Epoch=0, Iter=3100/6512] loss = 2.7160 (3.3878); frame0_box_l1_loss = 0.0106 (0.0132); frame0_box_giou_loss = 0.1246 (0.1374); frame0_label_focal_loss = 0.0201 (0.0478); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0118 (0.0152); frame1_box_giou_loss = 0.1294 (0.1450); frame1_label_focal_loss = 0.0252 (0.0468); frame1_bio_motion_loss = 0.0005 (0.0010); 
